temp(C), rmax(kohm),rnorm(kohm),rrmin(kohm)
-30,1805.1971,1733.2,1663.6657
-29,1693.5863,1630.408,1569.3019
-28,1593.938,1534.477,1476.9663
-27,1500.893,1444.903,1390.7495
-26,1413.9673,1361.22,1310.2028
-25,1329.1367,1283,1238.3016
-24,1252.8144,1209.327,1167.1953
-23,1181.4336,1140.424,1100.6928
-22,1114.6401,1075.949,1038.464
-21,1052.1085,1015.588,980.2059
-20,990.8617,959.05,928.1695
-19,936.0641,906.0117,876.839
-18,884.6914,856.2883,828.7167
-17,836.5067,809.6506,783.5807
-16,791.291,765.8865,741.2257
-15,746.7035,724.8,703.4662
-14,706.3711,685.6507,665.4693
-13,668.5024,648.8929,629.7934
-12,632.931,614.3649,596.2817
-11,599.5024,581.9169,564.7888
-10,566.5131,551.41,536.6581
-9,537.0073,522.6908,508.7073
-8,509.2437,495.6674,482.4068
-7,483.1082,470.2286,457.6486
-6,458.4948,446.2714,434.3323
-5,434.1442,423.7,413.4672
-4,411.9667,402.056,392.3459
-3,391.0739,381.6658,372.4482
-2,371.3832,362.4488,353.6953
-1,352.8178,344.3301,336.0142
0,334.4393,327.24,320.1638
1,317.8826,311.0397,304.3138
2,302.2571,295.7506,289.3553
3,287.5046,281.3157,275.2325
4,273.571,267.682,261.8936
5,259.7533,254.8,249.9157
6,247.2985,242.5827,237.9326
7,235.5234,231.0321,226.6034
8,224.3869,220.108,215.8887
9,213.8504,209.7724,205.7513
10,203.3838,199.99,196.6338
11,193.7916,190.5578,187.3599
12,184.7142,181.6319,178.5838
13,176.1211,173.1822,170.2759
14,167.9835,165.1804,162.4083
15,159.8962,157.6,155.3211
16,152.617,150.4253,148.2502
17,145.716,143.6234,141.5466
18,139.1712,137.1726,135.1891
19,132.9622,131.0528,129.1578
20,126.7793,125.245,123.717
21,121.124,119.6582,118.1984
22,115.7568,114.3559,112.9608
23,110.6613,109.3221,107.9884
24,105.634,104.5415,103.4506
25,101,100,99
26,96.8195,95.8191,94.8195
27,92.8384,91.8392,90.8415
28,89.0074,88.0494,87.0928
29,85.3582,84.4395,83.5222
30,81.9874,81,80.0167
31,78.57,77.6238,76.6815
32,75.3161,74.4091,73.5058
33,72.217,71.3472,70.4812
34,69.2643,68.4301,67.5994
35,66.5901,65.65,64.7167
36,63.8857,62.9838,62.0884
37,61.3075,60.442,59.5827
38,58.8489,58.0181,57.1933
39,56.5037,55.706,54.9141
40,54.3774,53.5,52.6316
41,52.2133,51.3708,50.537
42,50.1482,49.3391,48.5382
43,48.1771,47.3998,46.6304
44,46.2952,45.5483,44.809
45,44.5864,43.78,42.9836
46,42.8302,42.0555,41.2905
47,41.1535,40.4092,39.6741
48,39.5522,38.8369,38.1304
49,38.0227,37.335,36.6558
50,36.6326,35.8999,35.1785
51,35.3225,34.616,33.9204
52,34.0669,33.3855,32.7147
53,32.8632,32.2059,31.5588
54,31.7091,31.0748,30.4504
55,30.66,29.99,29.3318
56,29.551,28.9053,28.2709
57,28.4885,27.866,27.2545
58,27.4703,26.87,26.2803
59,26.4943,25.9153,25.3466
60,25.6058,25,24.4063
61,24.6941,24.1099,23.5373
62,23.82,23.2565,22.7042
63,22.9818,22.4381,21.9052
64,22.1778,21.6531,21.1389
65,21.4449,20.9,20.3669
66,20.7,20.1741,19.6595
67,19.9852,19.4774,18.9806
68,19.299,18.8087,18.3289
69,18.6402,18.1666,17.7032
70,18.0391,17.55,17.0723
71,17.4182,16.9459,16.4847
72,16.822,16.3659,15.9204
73,16.2495,15.8089,15.3786
74,15.6996,15.2739,14.8582
75,15.1975,14.76,14.3337
76,14.7046,14.2813,13.8688
77,14.2303,13.8206,13.4215
78,13.7739,13.3774,12.991
79,13.3346,12.9507,12.5767
80,12.9333,12.54,12.1575
81,12.5153,12.1347,11.7646
82,12.113,11.7447,11.3865
83,11.7259,11.3694,11.0225
84,11.3532,11.008,10.6722
85,11.0123,10.66,10.3179
86,10.6655,10.3243,9.993
87,10.3315,10.001,9.68
88,10.0097,9.6895,9.3785
89,9.6996,9.3893,9.088
90,9.4159,9.1,8.7939
91,9.1231,8.8171,8.5205
92,8.841,8.5444,8.2571
93,8.5691,8.2816,8.0031
94,8.3069,8.0283,7.7583
95,8.0667,7.784,7.5105
96,7.8282,7.5538,7.2884
97,7.5979,7.3316,7.074
98,7.3756,7.1172,6.867
99,7.161,6.91,6.6672
100,6.9643,6.71,6.4644
101,6.7739,6.5265,6.2876
102,6.5896,6.349,6.1166
103,6.4113,6.1772,5.9511
104,6.2388,6.0109,5.7909
105,6.0808,5.85,5.6274
106,5.9075,5.6832,5.4669
107,5.74,5.5221,5.3119
108,5.578,5.3663,5.162
109,5.4214,5.2156,5.0171
110,5.2777,5.07,4.87
111,5.131,4.9291,4.7346
112,4.9892,4.7928,4.6037
113,4.8519,4.661,4.4771
114,4.7192,4.5334,4.3546
115,4.5973,4.41,4.2299
116,4.4729,4.2906,4.1154
117,4.3524,4.1751,4.0046
118,4.2358,4.0632,3.8973
119,4.1229,3.9549,3.7934
120,4.0192,3.85,3.6877
121,3.9054,3.741,3.5833
122,3.7954,3.6357,3.4824
123,3.6891,3.5338,3.3848
124,3.5862,3.4353,3.2904
125,3.4915,3.34,3.1947
126,3.4027,3.255,3.1135
127,3.3166,3.1726,3.0346
128,3.233,3.0927,2.9582
129,3.152,3.0152,2.8841
130,3.0776,2.94,2.8084
131,2.9974,2.8634,2.7353
132,2.9198,2.7893,2.6644
133,2.8445,2.7173,2.5957
134,2.7715,2.6476,2.5291
135,2.7043,2.58,2.4613
136,2.6355,2.5144,2.3987
137,2.5688,2.4507,2.338
138,2.5041,2.389,2.2791
139,2.4413,2.3291,2.222
140,2.3834,2.271,2.1637
141,2.3231,2.2135,2.1089
142,2.2645,2.1577,2.0557
143,2.2077,2.1035,2.0041
144,2.1525,2.051,1.9541
145,2.1016,2,1.9031
146,2.0504,1.9513,1.8567
147,2.0007,1.904,1.8117
148,1.9524,1.858,1.768
149,1.9055,1.8134,1.7255
150,1.8624,1.77,1.6822
151,1.8222,1.7319,1.6459
152,1.7832,1.6947,1.6106
153,1.7451,1.6586,1.5763
154,1.708,1.6233,1.5428
155,1.6739,1.589,1.5083
156,1.6349,1.552,1.4732
157,1.597,1.516,1.4391
158,1.5602,1.4811,1.4059
159,1.5244,1.4471,1.3736
160,1.4914,1.414,1.3406
161,1.4568,1.3812,1.3095
162,1.4233,1.3494,1.2793
163,1.3906,1.3184,1.25
164,1.3588,1.2883,1.2214
165,1.3294,1.259,1.1923
166,1.2988,1.2301,1.1649
167,1.2691,1.2019,1.1382
168,1.2402,1.1745,1.1123
169,1.2121,1.1479,1.0871
170,1.1861,1.122,1.0613
171,1.1582,1.0956,1.0363
172,1.131,1.0699,1.012
173,1.1046,1.0449,0.9884
174,1.079,1.0206,0.9654
175,1.0551,0.997,0.9419
176,1.0326,0.9757,0.9218
177,1.0107,0.955,0.9023
178,0.9893,0.9348,0.8832
179,0.9685,0.9151,0.8646
180,0.9493,0.896,0.8457
181,0.9271,0.875,0.8258
182,0.9056,0.8547,0.8067
183,0.8846,0.8349,0.788
184,0.8643,0.8157,0.7699
185,0.8453,0.797,0.7514
186,0.8279,0.7806,0.736
187,0.811,0.7646,0.7209
188,0.7944,0.749,0.7062
189,0.7783,0.7338,0.6918
190,0.7633,0.719,0.6771
191,0.7463,0.7029,0.6619
192,0.7297,0.6873,0.6472
193,0.7136,0.6721,0.6329
194,0.6979,0.6574,0.6191
195,0.6835,0.643,0.6049
196,0.6698,0.6302,0.5928
197,0.6566,0.6177,0.5811
198,0.6436,0.6055,0.5696
199,0.6309,0.5936,0.5584
200,0.6192,0.582,0.5469
201,0.6082,0.5717,0.5373
202,0.5976,0.5617,0.5279
203,0.5872,0.5519,0.5187
204,0.5769,0.5423,0.5096
205,0.5677,0.533,0.5004
206,0.5565,0.5225,0.4905
207,0.5455,0.5122,0.4808
208,0.5349,0.5022,0.4715
209,0.5245,0.4925,0.4624
210,0.5149,0.483,0.4529
211,0.5046,0.4733,0.4438
212,0.4945,0.4639,0.435
213,0.4847,0.4547,0.4264
214,0.4751,0.4457,0.418
215,0.4664,0.437,0.4095
216,0.4572,0.4284,0.4014
217,0.4482,0.42,0.3935
218,0.4395,0.4118,0.3859
219,0.4309,0.4038,0.3784
220,0.423,0.396,0.3707
221,0.4149,0.3884,0.3636
222,0.407,0.381,0.3566
223,0.3994,0.3739,0.35
224,0.3918,0.3668,0.3434
225,0.385,0.36,0.3366
226,0.3778,0.3533,0.3304
227,0.3708,0.3467,0.3242
228,0.3639,0.3403,0.3182
229,0.3573,0.3341,0.3124
230,0.351,0.328,0.3065
231,0.3446,0.322,0.3009
232,0.3383,0.3161,0.2953
233,0.3322,0.3104,0.29
234,0.3262,0.3048,0.2848
235,0.3206,0.2993,0.2794
236,0.3149,0.294,0.2744
237,0.3094,0.2888,0.2696
238,0.3038,0.2836,0.2647
239,0.2984,0.2786,0.2601
240,0.2934,0.2737,0.2553
241,0.2883,0.2689,0.2508
242,0.2832,0.2642,0.2464
243,0.2783,0.2596,0.2421
244,0.2735,0.2551,0.2379
245,0.269,0.2507,0.2337
246,0.2644,0.2464,0.2296
247,0.2599,0.2422,0.2257
248,0.2554,0.238,0.2218
249,0.2511,0.234,0.2181
250,0.2471,0.23,0.2141
251,0.243,0.2262,0.2106
252,0.2388,0.2223,0.207
253,0.2348,0.2186,0.2035
254,0.2309,0.215,0.2002
255,0.2273,0.2114,0.1966
256,0.2235,0.2079,0.1934
257,0.2199,0.2045,0.1902
258,0.2162,0.2011,0.1871
259,0.2127,0.1978,0.184
260,0.2094,0.1946,0.1808
261,0.206,0.1914,0.1779
262,0.2026,0.1883,0.175
263,0.1994,0.1853,0.1722
264,0.1962,0.1823,0.1694
265,0.1932,0.1794,0.1666
266,0.1901,0.1765,0.1639
267,0.1871,0.1737,0.1613
268,0.1842,0.171,0.1588
269,0.1813,0.1683,0.1563
270,0.1785,0.1656,0.1536
271,0.1757,0.163,0.1512
272,0.1729,0.1604,0.1488
273,0.1702,0.1579,0.1465
274,0.1676,0.1555,0.1443
275,0.1652,0.1531,0.1419
276,0.1626,0.1507,0.1397
277,0.1601,0.1484,0.1375
278,0.1576,0.1461,0.1354
279,0.1553,0.1439,0.1334
280,0.153,0.1417,0.1312
281,0.1508,0.1396,0.1293
282,0.1485,0.1375,0.1273
283,0.1462,0.1354,0.1254
284,0.1441,0.1334,0.1235
285,0.142,0.1314,0.1216
286,0.14,0.1295,0.1198
287,0.1378,0.1275,0.118
288,0.1359,0.1257,0.1163
289,0.1338,0.1238,0.1145
290,0.132,0.122,0.1128
291,0.1301,0.1202,0.1111
292,0.1282,0.1185,0.1095
293,0.1264,0.1168,0.108
294,0.1245,0.1151,0.1064
295,0.1228,0.1134,0.1047
296,0.1211,0.1118,0.1033
297,0.1193,0.1102,0.1018
298,0.1176,0.1086,0.1003
299,0.116,0.1071,0.0989
300,0.1145,0.1056,0.0974
